aed,aud,bnd,cad,chf,cny,egp,eur,gbp,hkd,idr,inr,jpy,khr,krw,mmk,npr,nzd,php,pkr,sar,sgd,thb,twd,usd,vnd,xdr,date
,,,,3.059,,,4.7985,6.9013,0.4895,,,0.03579,,,,,,,,,2.2401,,,3.8,,,2004-01-08
,,,,3.096,,,4.8473,6.9638,0.4895,,,0.03578,,,,,,,,,2.2432,,,3.8,,,2004-01-09
,,,,3.1143,,,4.8804,7.0175,0.489524,,,0.035646,,,,,,,,,2.2462,,,3.8,,,2004-01-12
,,,,3.0893,,,4.8333,7.0028,0.4895,,,0.035652,,,,,,,,,2.2442,,,3.8,,,2004-01-13
,,,,3.1075,,,4.8497,7.0175,0.489476,,,0.035766,,,,,,,,,2.2432,,,3.8,,,2004-01-14
,,,,3.0836,,,4.8031,6.9638,0.489452,,,0.035726,,,,,,,,,2.2396,,,3.8,,,2004-01-15
,,,,3.0553,,,4.787,6.9396,0.489476,,,0.035766,,,,,,,,,2.2401,,,3.8,,,2004-01-16
,,,,2.9976,,,4.7037,6.8353,0.489333,,,0.035672,,,,,,,,,2.2331,,,3.8,,,2004-01-19
,,,,2.9922,,,4.697,6.7751,0.489333,,,0.035416,,,,,,,,,2.2178,,,3.8,,,2004-01-20
,,,,3.046,,,4.7778,6.9013,0.489141,,,0.035449,,,,,,,,,2.2252,,,3.8,,,2004-01-21
,,,,3.0534,,,4.7733,6.9252,0.489309,,,0.035692,,,,,,,,,2.2371,,,3.8,,,2004-01-26
,,,,3.0257,,,4.7416,6.8823,0.489285,,,0.035787,,,,,,,,,2.2411,,,3.8,,,2004-01-27
,,,,3.059,,,4.7962,6.93,0.489428,,,0.035954,,,,,,,,,2.2427,,,3.8,,,2004-01-28
,,,,3.0303,,,4.7393,6.9061,0.489165,,,0.035815,,,,,,,,,2.2391,,,3.8,,,2004-01-29
,,,,3.0193,,,4.7125,6.8966,0.488735,,,0.03582,,,,,,,,,2.2282,,,3.8,,,2004-01-30
,,,,3.0358,,,4.7574,6.9735,0.488782,,,0.036005,,,,,,,,,2.2432,,,3.8,,,2004-02-04
,,,,3.0386,,,4.7642,6.9589,0.488687,,,0.036007,,,,,,,,,2.2422,,,3.8,,,2004-02-05
,,,,3.0441,,,4.7733,6.9784,0.48883,,,0.035936,,,,,,,,,2.2437,,,3.8,,,2004-02-06
,,,,3.0769,,,4.8193,7.0225,0.489045,,,0.035949,,,,,,,,,2.2543,,,3.8,,,2004-02-09
,,,,3.0741,,,4.8216,7.0621,0.489093,,,0.0359,,,,,,,,,2.2563,,,3.8,,,2004-02-10
,,,,3.075,,,4.8239,7.1023,0.489045,,,0.035997,,,,,,,,,2.2696,,,3.8,,,2004-02-11
,,,,3.0874,,,4.8709,7.1839,0.489093,,,0.036069,,,,,,,,,2.2763,,,3.8,,,2004-02-12
,,,,3.0883,,,4.8685,7.1891,0.489021,,,0.036062,,,,,,,,,2.2665,,,3.8,,,2004-02-13
,,,,3.0703,,,4.8403,7.1633,0.489021,,,0.036031,,,,,,,,,2.2681,,,3.8,,,2004-02-16
,,,,3.0798,,,4.852,7.1788,0.489093,,,0.036021,,,,,,,,,2.2681,,,3.8,,,2004-02-17
